company_name,tagline,company_url,logo_url,location,founded_year,funding_amount,investors,investor_count,team_members,team_count,description
Grand Mobile,Grand Mobile: Kazakhstan’s top mobile gaming phenomenon.,https://www.f6s.com/company/grand-mobile,https://www.f6s.com/content-resource/profiles/6169952_cec3228c8905bf02e7d4e01234db59afacb13430_th2.jpg,"Astana, Kazakhstan",2022,,Astana Hub,1,,0,
TABYS,"Explore investments, buy securities, stocks, bonds, oil, gold in TABYS app.",https://www.f6s.com/company/tabys,https://www.f6s.com/content-resource/profiles/5995798_a404b6892e28dd2ae2e1dc89274c78252f03d7ab_th2.jpg,"Astana, Kazakhstan",,,Teniz Capital Investment Banking,1,,0,
1Fit.app,The Last Fitness App,https://www.f6s.com/company/1fit-thelastfitnessapp,https://www.f6s.com/content-resource/profiles/3182176_th2.jpg,"Almaty, Kazakhstan",2018,$500k,TMT Investments,2,"Askar, Murat",2,"1Fit is a mobile app with a single membership that gives access to gyms and studios throughout the city. On top of that, we are building a bot that will generate highly personalized recommendations on training, nutrition, and general health to make fitness affordable."
Squares App,"Squares gives access to 1500+ venues where users can work, meet and create",https://www.f6s.com/company/squares-app,https://www.f6s.com/content-resource/profiles/3242500_th2.jpg,"Almaty, Kazakhstan",2021,$220k,Advisor & Business Angel,2,"Kassym, Daniil",2,"At Squares, we are dedicated to solving the problem of underutilized spaces. Our platform offers two main products: Squares App: This is a user-friendly platform for individuals and businesses seeking event venues. It provides access to a network of over 1500 available spaces for various events and gatherings. Users can easily browse, book, and pay for the desired venue, making the process seamless and efficient. Squares Pass: This membership program grants users access to more than 200 flexible workspaces in the city. Whether it's for a day of remote work, meetings, or collaboration, Square..."
Gen2B,Transforming legacy companies into AI-First,https://www.f6s.com/company/gen2b,https://www.f6s.com/content-resource/profiles/6260604_c1810e47b61a10abe3e2bd79687daba797048f53_th2.jpg,"Almaty, Kazakhstan",2024,$1.3m,Armen Atayan,3,"Bakht, Armen, Denis",3,"Gen2B builds a unified AI platform that powers the Ultimate AI Agent—an autonomous, self-learning system designed to transform businesses from legacy to AI-First. Our platform includes:Gen2Chat – AI-first communication platform that automates Layer 1 agents, achieving up to 85% ticket automation and 99% skill-based routing accuracy.Gen2Call – Speech analysis with self-learning capabilities, enabling automated quality control and emotional intelligence detection.Gen2Agent – A real-time, voice-to-voice AI agent that integrates with CRMs and enterprise systems, capable of handling inbound and..."
LABADVANCE_LLC,"​Company develops microfluidic solutions for oil&gas, medicine & reseaerch.",https://www.f6s.com/company/labadvancellc,https://www.f6s.com/content-resource/profiles/5971795_1fcad7a251f0f589a0fab75a3819232c5e99bfbf_th2.jpg,"Almaty, Kazakhstan",,,,,"Evgeny, Alexey",2,
Nearby (NBY),Nearby (NBY) is an AI-powered legal tech platform. ALL in One,https://www.f6s.com/company/nearby-nby,https://www.f6s.com/content-resource/profiles/5853750_5287f54bd2f3c2ad8e08d8c27228b5335c0d0d02_th2.jpg,"Almaty, Kazakhstan",2018,$500k,,0,,0,"Nearby is an innovative LegalTech platform that automates document workflow, contract analysis, and legal consultations using AI. Designed for lawyers, businesses, and legal departments, Nearby enhances efficiency, reduces manual workload, and ensures compliance through smart automation and intelligent legal insights. With modular features, users can scale their legal operations, integrate with existing systems, and streamline case management effortlessly"
Most - Neobank,"Flexible credit, seamless transactions, and fiat-to-crypto conversion.",https://www.f6s.com/company/most-neobank1,https://www.f6s.com/content-resource/profiles/5686879_63084403bd2be8460e0413bac618bba6b8e84e6e_th2.jpg,"Almaty, Kazakhstan",2024,$500k,Mirat Akhmetsadykov,1,"Pavel, Nurkhan, Mirat",3,"Most Neobank: Empowering MSMEs with Financial Freedom Most Neobank is a digital-first neobank designed to meet the unique needs of micro, small, and medium-sized enterprises (MSMEs). Our mission is to provide seamless, modern financial solutions that empower businesses to scale, thrive, and operate confidently in a global market. Key Features: 1. Flexible Credit Solutions: • At the core of our offerings is a robust credit system designed specifically for MSMEs. Businesses can access credit lines linked to their credit cards, enabling flexible cash flow management. • We provide innovative ..."
Off The Map,A community-based business offering authentic journeys to unexplored places,https://www.f6s.com/company/off-the-map,https://www.f6s.com/content-resource/profiles/3639683_th2.jpg,"Almaty, Kazakhstan",2023,$893,Tommaso Aguzzi,1,"Pietro, Tommaso",2,"Slow tourism is always more important to adventures journeys and sustainability is an important driver to life choices. We want to offer an opportunity to all the people who search an authentic way of travel. We organize journeys for people who want to discover unexplored places and different cultures authentically and with a deep personal relationship. We make deep connection with local activities to promote local economies, enhancing people life conditions. Our journey are group experience because we believe in creating a worldwide community of proactive and responsible travelers explori..."
redflags.ai,Universal Procurement Intelligence,https://www.f6s.com/company/redflags.ai,https://www.f6s.com/content-resource/profiles/5567919_448a48634ec7379e330f27eb0ef4c239cbdbdac8_th2.jpg,"Astana, Kazakhstan",2025,$100k,Vitaliy Trenkenshu,1,"Alex, Dias, Vitaliy",3,"redflags.ai is a comprehensive solution for enterprise procurement and tender bidding. We have developed our own proprietary MCP server to classify tenders and procurement prices based on open contracting databases, and we have already attracted strong interest from enterprise clients. Our dual business model allows developers and SMEs to use our MCP to make their procurement more intelligent, while enterprise clients can utilize our solution in the form of off-the-shelf AI agents. With this approach, redflags.ai covers the primary needs of both suppliers and buyers. Suppliers receive more..."
Bloxxa,Bloxxa - WEB3 Product Builder Revolutionizing Blockchain Applications,https://www.f6s.com/company/bloxxa,https://www.f6s.com/content-resource/profiles/3769176_th2.jpg,"Almaty, Kazakhstan",2023,$200k,Andrew Zanin,1,"Andrew, Altemir",2,"⭐️Bloxxa aims to democratize the creation and management of blockchain applications, enhancing accessibility for developers and enterprises. With its commitment to multi-chain support, intuitive smart contract constructors, and robust blockchain platform constructors, Bloxxa lowers entry barriers and ensures security and scalability."
Electronic devices of the 21st century!,Computers and smartphones based on quantum processors.,https://www.f6s.com/company/electronic-devices-of-the-21st-century1,https://www.f6s.com/content-resource/profiles/3170088_th2.jpg,"Astana, Kazakhstan",2014,$100k,Murat Aibassov,2,Murat,1,"An introduction to startup designing computers and cell phones based on quantum processors. Dear Ladies and Gentlemen! My name is Murat Aibassov and I am delighted to present an absolutely unique startup designing computers and phones based on quantum processors. First of all, I want to be aware that nowadays computer manufacturers use silicon processors in electronic devices.For example, let's consider modern processors,the latest Intel processors, series x - 18 core.Intel is the largest manufacturer of computer processors in the world. They use 14 nm technology. That means 14 nanometer..."
AroundGIS,Web&Mobile marketplace for offline home business between neighbors.,https://www.f6s.com/company/aroundgis,https://www.f6s.com/content-resource/profiles/3088472_th2.jpg,"Astana, Kazakhstan",2018,,,,Alkei,1,"Eround is a web and mobile super application where neighbors can sell goods to each other and provide services to their other neighbors. P2P. What is the functional uniqueness of our startup?1) The map as the main element of the interface, so it allows you to find neighbors easier and more conveniently.2) There are different pages for service providers and for those who sell goods.3) 3 mechanics for booking services and goods.4) There is a separate functionality for hot ads (sale of used goods and other things). What is the conceptual uniqueness of our startup?1) The entire market in on..."
KSPr,IT company with global projects and big ambitions,https://www.f6s.com/company/kspr,https://www.f6s.com/content-resource/profiles/2201253_th2.jpg,"Astana, Kazakhstan",2018,,,,Adil,1,Creating softwares/apps to help in solution of consumer's every day struggles and needs
Smart Control Solutions,Remote inventory monitoring and data analysis,https://www.f6s.com/company/smartcontrolsolutins,https://www.f6s.com/content-resource/profiles/2010616_th2.jpg,"Almaty, Kazakhstan",2018,,,,Bulakhov,1,"We work with international FMCG on the implementation of smart monitoring in retail, be it smart shelves or automatic promoter controlling. Our main business- is remote sensory telemetry, we count each SKU, recognize SKU, alert and provide reporting online."
bizzenger,Mobile Business Communicator,https://www.f6s.com/company/bizzenger,https://www.f6s.com/content-resource/profiles/1896880_th2.jpg,"Almaty, Kazakhstan",2017,,,,,0,Mobile-only based service to creat mutually beneficial(symbiotic) communication between supplier(Small Business) and Consumer.
Smart Energy Tree.,"""Solar-wind tree"" is a smart installation that simultaneously generates the",https://www.f6s.com/company/smartenergytree,https://www.f6s.com/content-resource/profiles/1824226_th2.jpg,"Atyrau, Kazakhstan",2015,,Yerzhan Nuredinov,1,Yerzhan,1,"My name is Yerzhan Nuridinov, I'm 34 years old, I'm from Kazakhstan. I am the founder of innovative start-up company #ZhasylEnergy"" and the author of the innovative project smart ""Solar Wind Tree"" (#SmartEnergyTree). Description of my most expensive and clever tree >>> ""Solar-wind tree"" is a smart installation that simultaneously generates the energy of the sun and wind in an urban environment. We have developed and patented for this project a smart anti-vandal self-cleaning solar panel in the form of bee honeycombs made of impact-resistant polycarbonate and a new type of modular wind generato..."
Verigram,"Identity verification - simple, fast and friendly",https://www.f6s.com/company/verigram,https://www.f6s.com/content-resource/profiles/2986500_th2.jpg,"Almaty, Kazakhstan",2017,,,,Adlet,1,"A technology company providing AI-based remote biometric verification services. The company was incorporated on August 17, 2017.16 people (including 8 ML developers)Verigram services are installed on the smartphones of 3 million Kazakhstanis. Monthly 4 million transactions are made"
VideoOculograph,Health Diagnostics by Eye Moves & Pupils' Reaction,https://www.f6s.com/company/videooculograph,https://www.f6s.com/content-resource/profiles/1688882_th2.jpg,"Almaty, Kazakhstan",2020,,,,Lidiya,1,"There 7,5 mil of people with nystagmus and strabismus only in Russia. Treatment of these pathologies same time is still in 95% of cases performed only by surgery, but defect of nystagmus according to statistics can return in 6 -12 months even after successful surgery and can lead to the strabismus' side appearance as the result of a surgery, while lack of treatment leads to loss of visual acuity up to blindness. VideoOculograph allows solving this problem with no surgical risks or further long rehabilitation period just simply by programmable periodic light stimulation. We've developed the 1s..."
Relog,Cloud-based delivery and logistics management service,https://www.f6s.com/company/relog1,https://www.f6s.com/content-resource/profiles/1369243_th2.jpg,"Almaty, Kazakhstan",2016,,,,Бауыржан,1,"We have created cloud-based software that helps transport companies, logistic companies, delivery services to manage their delivery processes and vehicles, decrease their transport expenses. Our product is an web app for delivery managers and mobile app for drivers."
COGNITELLECT,COGNITELLECT is Neurological Trainer for peoples brain cognitive functions,https://www.f6s.com/company/cognitellect,https://www.f6s.com/content-resource/profiles/1212516_th2.jpg,"Almaty, Kazakhstan",2016,,Yerlan Kondybayev,1,Yerlan,1,"My company will manufacture the COGNITELLECT © product.One box of COGNITELLECT will cost 20.00 USD on the world market. We planing to supply COGNITELLECT to hospitals, schools and Holiday Houses around the world. This is millions of boxes. Additionally we can sell in e-commerce system, which we planing to order. We planing to sell 1 million of boxes and earn about 10,000,000.00 USD in next 3 years. We planing to open distribution centers in all regions around the world. We already have good connections with top professors in neuroscience around the world. We have recommendations from medical ..."
Singularity Lab,Interactive virtual reality center,https://www.f6s.com/company/singularitylab,https://www.f6s.com/content-resource/profiles/1133932_th2.jpg,"Almaty, Kazakhstan",2013,,Damir Saifullin,1,"Damir, Yura, Indira",3,"Singularity Lab is a company based in Almaty, Kazakhstan. We are focused on VR and AR technologies, as well as the interactive media solutions. In the last 3 years we've developed commercial projects, including the first in CIS social VR simulator and one of the most technologically advanced museums in Kazakhstan. Now we are ready to make our own product - an interactive virtual reality center. Interactive center is a complex, created based on the newest technologies of virtual reality and interactive projections, aimed towards entertainment, education and business.For more information, plea..."
Kale,AI buddy who cares about mind health of employees,https://www.f6s.com/company/kale,https://www.f6s.com/content-resource/profiles/3129568_th2.jpg,"Astana, Kazakhstan",2022,,,,Rim,1,Kale is developing an assistance that helps companies to retain employees with an Al-powered well-being program.
Kredit24.kz,Quick cash loans 100% online. Hassle free.,https://www.f6s.com/company/kredit24.kz,https://www.f6s.com/content-resource/profiles/772556_th2.jpg,"Almaty, Kazakhstan",2013,,Alexei Sidorov,1,"Alexei, Sofya",2,"Kredit24 is the first Central Asia's FinTech startup disrupting credit industry. We offer short-term loans with fast and convenient service via own online platform and partners' network PROBLEM WE ARE SOLVINGA common situation when consumers urgently need money to cover unexpected expenses, but next paycheck is not coming soon. ￼￼￼Banks would not usually offer such small loans (below $400), it is a bit too much for borrowing from friends, and employers provide cash advances very unwillingly.￼RESULTTraditional financial institutions can not solve this common problem of many consumers – f..."
WOOPPAY,Payment system,https://www.f6s.com/company/wooppay,https://www.f6s.com/content-resource/profiles/517413_th2.jpg,"Karagandy, Kazakhstan",,,,,Alexandr,1,
TalkToFuture,Send letters for yourself or your friends to future. Make stories of life,https://www.f6s.com/company/talktofuture,https://www.f6s.com/content-resource/profiles/515515_th2.jpg,"Almaty, Kazakhstan",,,,,"Yerassyl, Olzhas",2,
The Intervale Kazakhstan Company,Developers,https://www.f6s.com/company/theintervalekazakhstancompany,https://www.f6s.com/content-resource/profiles/411444_th2.jpg,"Almaty, Kazakhstan",,,,,Badirsha,1,
Hexlet,Platform for in-browser programming lessons in the real dev environment,https://www.f6s.com/company/hexlet,https://www.f6s.com/content-resource/profiles/364681_th2.jpg,"Almaty, Kazakhstan",,,,,"Rakhim, Samir",2,"Hexlet is a platform for practical in-browser programming lessons in the real development environment. Each lesson is a programming task from the real world which targets a particular skill and is evaluated automatically. Real development environment means being able to learn and interact with languages, frameworks, databases, servers and other right from the browser, without installing anything."
YourFlavor,YourFlavor,https://www.f6s.com/company/yourflavor,https://www.f6s.com/content-resource/profiles/326177_th2.jpg,"Astana, Kazakhstan",,,,,"Anuar, Make, Samat",3,
